證券代碼,Y,現金及約當現金佔流動資產,應收帳款及票據佔流動資產,存貨佔流動資產,不動產廠房及設備佔非流動資產,應付帳款及票據佔流動負債,其他應付款佔流動負債,普通股股本佔股東權益總額,股本佔股東權益總額,每股盈餘,營運現金流量比率,營運現金流量對淨利比率,營運指數,營運現金流量佔本期產生現金流量,投資活動之現金流量佔本期產生現金流量,籌資活動之現金流量佔本期產生現金流量,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,稅前息前折舊前淨利率,ROE(B)－常續利益,營業毛利率,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,常續利益率－稅後,貝里比率,營業資產報酬率,營業費用率,用人費用率,研究發展費用率,現金流量比率,常續性EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,季底每股稅前淨利,季底每股稅後淨利,營收成長率,營業毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,現金流量允當比,流動比率,總負債/總淨值,利息保障倍數,營業利益 /實收資本比,稅前純益 /實收資本,內部保留比率,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,平均收帳天數,存貨週轉率（次）,平均售貨天數,淨值週轉率（次）,淨營業週期（日）,季底售貨天數,自由現金流量(D),季底應收帳款/營收TSE,Tobins Q,Tobins Q (A),高管基層薪資差異(倍)
5267 龍翩,0,0.267376694,0.515499874,0.211994857,0.95639625,0.653620672,0.049011096,0.454878708,0.454878708,6,-0.050775432,-0.066745546,-60.21978194,0.086710195,0.130490376,0.780452969,24.88,19.09,19.96,28.25,25.97,28.25,33.35,33.35,25.11,24.88,19.93,-0.23,19.93,404.51,24.35,8.24,5.08,1.32,-5.08,6,-0.5,30.11,7.56,7.49,7.49,6,7.33,-2.51,-6.77,-10.38,-13,-13,-12.15,3.27,7.26,-2.61,92.48,270.4,45.28,12734.9,75.59,74.91,41.67,427855,88.11,2.92,0.96,124.79,3.54,103.19,1.42,122.92,102.67,105491,45.59,1.94,1.94,8.8
5282 富昱科,0,0.065558679,0.719477037,0.068702133,0.698828873,0.331533064,0.256752926,0.969124414,0.969124414,-1.16,0.064897806,-0.559821576,59.54960751,-0.357658532,1.153170649,0.03360635,3.39,-4.05,1.97,-10.01,2.33,-9.73,15.37,15.37,-2.75,-3,-3.1,-0.25,-3.02,84.83,-4.03,18.11,12.91,0.56,6.49,-1.13,0.63,37.37,-1.03,-1.12,-1.12,-1.16,-46.06,-40.31,-131.63,-137.94,-171.28,-171.28,-159.02,-36.7,-19.79,-7.96,,148.54,100.67,-10.83,-10.27,-11.21,,126718,109.71,2.43,1.4,150.23,17.73,20.59,3.22,95.9,11.41,60200,27.65,1,1,1.57
5285 界霖,0,0.168504871,0.353969228,0.473874994,0.930857006,0.078599645,0.164930981,0.579951395,0.579951395,1.25,0.278576626,1.396322797,13.67415888,-2.748177856,0.584368018,4.26191261,11.07,4.79,9.02,7.09,10.7,7.09,11.52,11.52,4.43,5.24,4.19,0.81,4.19,162.51,4.65,7.09,8.81,0.76,27.86,1.25,2.46,33.7,1.49,1.76,1.76,1.25,-9.09,-16.06,-41.95,-30.05,-30.05,-30.05,-30.79,-4.48,-23.8,-1.58,,235.37,84.6,10.88,14.93,17.65,20.17,729212,99.96,4.5,1.03,81.16,3.03,120.53,1.69,191.02,120.78,140395,21.87,1.16,1.16,2.72
5315 光聯,0,0.245916189,0.353076542,0.315634299,0.91470182,0.351930095,0.190663962,1.801639909,1.801639909,-1.18,0.024207443,-0.066443826,127.8735846,-0.189713374,-2.982952802,4.143558583,-2.56,-9.52,-3.94,-18.05,-2.08,-19.54,-0.03,-0.03,-12.71,-11.77,-11.77,0.94,-12.74,-0.27,-11.35,12.68,21.64,0.53,2.42,-1.27,0.08,9.98,-1.27,-1.18,-1.18,-1.18,-1.67,-113.42,4.01,21.41,24.59,24.59,7.8,-29.72,-25.23,3.36,9.95,129.49,76.24,-22,-12.65,-11.71,,150640,50.13,5.79,0.84,62.99,6.62,55.16,1.53,71.18,49.77,31644,14.77,0.51,0.51,3.37
5386 青雲,0,0.490174813,0.212413226,0.210726725,0.073582525,0.335612605,0.145133305,0.896058789,0.896058789,7.51,0.882637736,1.724416337,6.245875477,1.617108187,-0.151512562,-0.465903264,27.43,32.53,33.31,91.16,9.63,92.4,20.22,20.22,9.25,9.28,11.44,0.03,11.6,184.32,29.29,10.97,6.93,1.4,88.26,6.15,10.51,53.03,4.91,6.1,4.92,6.07,-7.44,180.73,409.63,419.3,493.39,493.39,562.98,22.66,419.54,44.99,23680,195.25,86.76,47.38,49.05,49.23,100,102111,71.21,8.87,2.8,41.14,12.13,30.09,7.97,41.64,32.37,-13422,7.52,1.26,1.26,2.22
6104 創惟,0,0.52573387,0.144589634,0.153035771,0.842040268,0.387821231,0.363031441,0.672168882,0.672168882,-0.91,0.01492688,-0.05982625,285.6497569,-0.188598764,1.939565477,-0.797289217,0.92,-4.87,0.06,-6.21,-1.03,-4,41.59,41.59,-2.75,-5.85,-6.09,-3.1,-3.92,93.8,-2.67,44.34,31.59,29.84,1.49,-0.57,0.05,15.62,-0.43,-0.91,-0.91,-0.91,9.47,25.18,61.41,46.72,51.62,51.62,50.62,-4.55,-5.78,4.57,71.27,326.71,27,-77.3,-4.3,-9.14,,718558,23.94,8.48,0.81,43.04,5.32,68.67,1.02,48.5,74.73,-10871,11.08,1.05,1.05,2.39
6172 互億,0,0.488387186,0.219964994,0.032911168,0.075343791,0.040497289,0.032985264,2.137250049,2.137250049,-2.37,-0.341953767,1.034553699,-2.104894377,-4.609319512,5.561618198,0.047701315,-5.45,-17.96,-9.01,-54.6,-37.16,-33.06,1.09,1.09,-38.44,-45.92,-54.6,-7.49,-33.06,2.76,-27.23,39.53,13.97,4.98,-34.2,-1.43,-2.06,4.34,-1.67,-1.99,-1.99,-2.37,-25.48,-76.58,12.17,48.71,39.02,39.02,10.71,-5.74,17.2,4.61,-91,36.21,157.47,-10.98,-16.66,-19.91,,-179185,11.79,6.48,0.35,56.33,23.78,15.35,1,46.33,6.06,-52207,11.06,1.02,1.02,1.93
6223 旺矽,0,0.204170482,0.243463472,0.521120279,0.822026917,0.238079273,0.216261005,0.263845261,0.263845261,3.42,0.015264957,0.090667925,108.8730478,-0.075522649,1.052625084,0.015396094,8.53,5.29,7.36,8.36,14.33,8.36,45.83,45.94,10.25,10.13,8.88,-0.12,8.88,128.42,6.51,35.69,35.02,18.99,1.53,3.42,0.34,37.4,3.83,3.79,3.79,3.42,-29.82,-23.79,-59.12,-59.58,-59.68,-59.68,-58.55,0.2,-4.19,-7.45,69.49,171.28,61.65,660.68,37.37,36.92,26.88,1228930,75.78,4.32,0.6,84.41,1.02,358.89,0.94,340.2,371.29,489158,25.09,0.9,0.9,2.79
6228 全譜,0,0.373143556,0.209750478,0.367409895,0.718437689,0.43695373,0.534601046,1.239881665,1.239881665,-2.44,-1.43930328,0.470940364,-2.677629288,0.837339846,0.202901456,0,-19.76,-23.81,-20.99,-26.27,-67.66,-26.27,-16.26,-16.26,-78.42,-79.3,-81.52,-0.88,-81.52,-26.16,-27.02,62.16,50.21,17.64,-143.93,-2.44,-1.12,2.99,-2.35,-2.37,-2.37,-2.44,-40.4,-132.48,-1216.57,-12004,-2409.71,-2409.71,-5449.64,-23.53,-23.23,-20.07,-4.74,481.36,10.07,-97557,-23.47,-23.73,,121733,26.74,4.79,0.29,76.27,1.58,230.78,0.32,253.38,165.49,9900,26.2,0.5,0.5,2.66
6234 高僑,0,0.454921719,0.145772949,0.378641819,0.76051427,0.154198773,0.321947785,0.329888252,0.329888252,-2.74,0.623109079,-0.5354577,4.888816878,-0.573019442,1.282627897,0.310023989,-3.76,-5.62,-3.85,-6.59,-16.62,-7.87,-35.23,-34.91,-46.61,-38.2,-35.08,8.41,-41.87,-300.97,-8.29,11.71,15.73,1.28,62.31,-3.27,1.6,7.81,-3.64,-2.99,-2.99,-2.74,-64.09,-194.67,-518.83,-311.61,-371.12,-371.12,-411.44,-43.03,-42.66,-9.46,136.21,457.52,16.37,-287.55,-36.43,-29.85,,655142,20.3,2.27,0.16,160.5,1.37,266.84,0.19,394.83,170.65,687216,21.89,0.42,0.42,5.73
6411 晶焱,0,0.302785009,0.322156493,0.321678756,0.576747735,0.531210373,0.169215395,0.662244544,0.662244544,2.91,0.572289544,1.618120083,6.616675553,1.102980767,-0.697645059,0.594664293,15.41,15.79,17.73,21.56,11.03,21.59,27.55,27.55,9.99,9.34,11.29,-0.65,11.3,156.85,16.06,17.57,11.84,10.04,57.23,2.75,3.89,24.37,2.43,2.41,2.28,2.75,50.01,23.88,17.1,5.16,39.15,39.15,38.88,70.64,44.85,6.03,,229.69,45.91,247.29,24.34,22.77,45.47,463299,63.04,8.44,1.39,43.27,3.82,95.66,1.91,92.92,106.21,-18948,19.54,2.52,2.52,3.62
6415 矽力*-KY,1,0.429776154,0.166297296,0.183327002,0.762511115,0.490788017,0.485812078,0.521866698,0.521866698,11.52,0.826740167,0.377551599,9.363208449,1.158487072,-2.218597399,2.306938608,42.15,41.32,41.76,82.23,29.91,82.23,52.29,52.29,29.13,28.29,28.29,-0.84,28.29,225.75,47.15,23.16,15.7,11.16,82.67,7.18,4.35,25.38,7.39,11.52,7.18,7.18,186.13,239.65,2980.74,569.49,569.46,569.46,569.46,65.31,1226.93,64.52,,652.67,17.11,23.8,73.92,71.8,100,978517,39.04,12.13,1.41,30.08,4.71,77.53,2.91,70.63,118.75,-36805,14.02,0.85,0.85,
6436 邑鋒,0,0.264445452,0.105434262,0.568383838,0.248928597,0.300664178,0.055217008,0.697409927,0.697409927,3.49,0.395802088,1.368128399,6.80031946,1.015801761,-0.127405645,0.165472295,21.77,12.6,14.56,31.54,13.15,31.54,32.09,32.09,8.29,10.75,6.8,2.46,6.8,134.84,15.11,23.8,12.49,2.35,39.58,4.01,7.54,58.95,4.89,5.51,6.34,4.01,168.48,363.33,2097.34,7562.14,6316.5,6316.5,6316.5,29.68,29.45,14.79,,164.22,180.37,11.98,48.87,63.36,75.05,182839,169.01,17.65,1.66,20.68,1.93,188.71,4.64,163.16,186.86,-3878,6.43,0.7,0.7,
6462 神盾,0,0.534644623,0.127957046,0.013646271,0.045424055,0.020814042,0.66350282,1.788263377,1.788263377,-4.1,0.173099588,-0.041115338,16.95306991,0.298775836,0.187039122,0.544879945,2.07,-47.08,0.17,-53.27,-124.48,-5.55,79.43,79.43,-11.6,-143.47,-146.14,-131.86,-15.24,87.25,-7.99,91.03,43.63,39.73,17.31,-0.43,0.17,2.81,-0.33,-4.03,-4.03,-4.1,-32.38,35.23,82.25,-127.76,-117.96,-117.96,77.27,-39.8,-43.01,-23.65,,395.89,17.11,-3921.49,-3.26,-40.28,,140594,9.59,4.17,0.32,87.46,4.59,79.47,0.36,63.36,27.89,-176392,17.26,0.9,0.9,
6559 研晶,0,0.504363673,0.162923965,0.287597449,0.938953846,0.582188828,0.36872575,2.615208316,2.615208316,-3,-0.496520293,0.22631446,-5.945174895,-3.848210024,-0.249164678,5.097374702,,,,,-47.91,,-9.14,-9.14,-75.03,-74.32,-74.32,0.7,-74.32,-13.88,,65.88,56.52,31.93,-49.65,,-0.68,,,-3.01,,,,,,,,,,,,,,304.15,34.31,,-28.14,-27.87,,33148,45.53,,,,,,,,143.99,,16.79,0.74,0.74,
6638 沅聖,0,,,,0.673978399,,,0.443361249,0.443361249,0.6,,,,,,,,,,,,,18.87,18.87,11.32,10.74,8.92,-0.58,8.92,249.84,,7.55,,,,,,,,0.72,,,,,,,,,,,,,,164.66,136.65,,,,100,68157,,,,,,,,,,,,,,
6673 和詮,0,,,,0.350071252,,,2.538303524,2.538303524,-7.64,,,,,,,,,,,,,-104.55,-104.55,-261.91,-540.46,-968.57,-278.55,-448.32,-66.44,,157.36,,,,,,,,-4.26,,,,,,,,,,,,,,181.44,25.52,,-8.27,-17.06,,31775,0,,,,,,,,0,,0,0.8,0.8,
8040 九暘,0,0.66492278,0.117710476,0.11298463,0.579188211,0.65354416,0.331552362,0.995284331,0.995284331,-0.46,-0.17195679,0.552061869,-33.3208919,0.330116973,0.015489735,0.654393292,2.82,-3.03,2.25,-3.98,0.38,-0.72,38.4,38.4,-11.82,-5.44,-5.44,6.39,-0.98,76.46,-8.94,50.22,34.39,35.12,-17.2,-0.1,-0.24,8.31,-0.98,-0.44,-0.45,-0.47,-43.13,-4.4,61.11,83.15,85.66,85.66,97.15,-17.11,-13.82,16.67,132.65,451.52,22.82,-17.79,-9.39,-4.32,,421730,14.37,8.39,0.58,43.52,5.15,70.92,0.73,21.26,49.32,23645,9.28,0.72,0.72,2.01
8054 安國,0,0.468030433,0.1005325,0.171169365,0.157096644,0.630573161,0.296275669,0.387942524,0.387942524,2.76,0.592963149,1.159491535,9.28758706,-24.24260402,5.810149924,19.59825222,11.87,7.69,9.24,9.77,13.57,7.08,32.88,32.88,7.26,9.29,7.46,2.03,5.4,128.34,10.86,25.62,15.33,18.73,59.3,2.03,3.8,35.2,2.56,3.27,3.27,2.75,-6.06,-13.66,-43.92,-32.82,-37.15,-37.15,-57.22,-5.95,-1.42,-4.07,193.5,436.13,23.95,,24.68,31.57,34.6,1714093,28.38,10.91,1.03,33.44,4.65,78.51,1.31,39.27,74.48,332973,7.96,1.06,1.06,6.4
8111 立碁,0,0.302475281,0.368177027,0.242320249,0.851799921,0.227693985,0.15800673,1.025056179,1.025056179,-2.01,-0.23781469,0.613867974,-6.869109638,0.52686795,0.27627348,0.187655107,-1.93,-10.77,-5.29,-19.29,-6.96,-17.92,9.72,9.72,-20.39,-23.72,-29.38,-3.33,-27.3,32.29,-8.74,30.11,26.65,8.91,-23.78,-1.86,-1.05,7.23,-1.47,-1.71,-1.71,-2.01,-35.76,766.73,31.13,28.82,7.45,7.45,8.39,-25.27,-18.77,1.12,25.92,133.71,58.47,-8.23,-14.57,-16.95,,215748,36.6,3.35,0.4,109.01,3.89,93.8,0.66,135.94,84.92,51917,30.13,0.61,0.61,2.7
8240 華宏,0,0.114628303,0.605588875,0.255205594,0.821257021,0.368876949,0.08219099,0.21693047,0.21693047,3.44,-0.022129481,-0.305482589,-81.54446519,0.372128395,1.623466504,-1.19904793,7.86,3.33,5.67,7.5,7.22,7.32,11.99,11.99,4.77,4.01,2.57,-0.76,2.51,166.09,5.51,7.22,9.8,2.19,-2.21,3.35,-1.66,135.66,6.47,5.45,5.45,3.44,11.86,9.37,4.78,-22.26,-27.45,-27.45,-12.6,18.82,-1.65,-0.76,7.07,129.08,190.97,8.2,64.71,54.46,48.64,1858231,181.2,2.64,1.1,138.12,5.61,65.01,2.92,136.8,77.36,381336,43.32,0.67,0.67,5.4
8264 台視訊,0,0.231043598,0.168854157,0.575312166,0.696290277,0.178112413,0.067322336,1.02671447,1.02671447,-4.48,-0.018705789,0.100962185,-76.50637246,-0.205556316,1.359420517,0.036422999,-6.11,-10.06,-7.95,-36.41,-7.76,-36.18,15.21,15.21,-10.95,-12.95,-14.49,-2,-14.4,58.15,-9.47,26.16,18.25,6.27,-1.87,-3.74,-0.43,27.67,-3.03,-4.25,-3.58,-3.77,1.11,11.13,11.62,20,10.87,10.87,10.79,-11.72,-20.73,0.97,-401.99,120.41,238.17,-5.26,-30.3,-35.83,,114731,177.9,6.86,0.79,53.17,1.63,223.88,2.51,224.89,210.83,-156059,14.21,0.84,0.84,2.18
8266 中日新,1,0.028709819,0.719246728,0.025687732,0.90412552,0.171187993,0.215396522,2.944145818,2.944145818,-4.99,-0.250501787,0.539673053,-6.124477698,4.374572545,-6.928391142,3.498005211,3.4,-15.41,-0.85,-72.34,-2.44,-52.46,4.46,4.46,-15.5,-30.26,-39.43,-14.75,-24.84,22.36,-9.07,19.97,36.84,2.46,-25.05,-3.15,-2.07,12.66,-1.96,-3.83,-3.83,-4.99,-55.76,-48.77,35.29,34.52,55.76,27.2,10.51,-34.98,-60.49,2.8,-0.88,95.34,503.28,-8.59,-19.63,-38.31,,-19978,172.57,1.84,0.49,198.9,31.77,11.49,2.11,100.05,6.9,-748731,44.7,0.72,0.72,0.95
8277 商丞,0,0.151420783,0.11151881,0.659372325,0.510950574,0.263104513,0.060496161,0.802856131,0.802856131,0.12,0.869531142,19.63097028,12.46970527,7.523668115,-0.757734243,-5.762919954,2.89,1.41,2.6,0.99,1.23,2.12,3.94,3.94,1.8,0.41,0.38,-1.39,0.81,184.14,3.57,2.14,1.94,0.2,86.95,0.26,2.61,32.54,0.59,0.13,0.13,0.12,-48.86,155.96,118.46,103.93,103.59,103.59,107.7,-15.07,-0.45,16.81,-239.13,420.76,38.06,1.78,5.85,1.33,100,626194,78.14,17.29,1.74,21.11,3.49,104.44,2.61,110.02,88.88,31647,4.33,1,1,4.39
2302 麗正,0,0.27226547,0.259281802,0.372906461,0.236878531,0.453673639,0.252581547,0.98764052,0.98764052,0.16,-3.12E-05,-0.00046495,-48045.84615,-0.000258784,0.537772469,0.431531801,2.12,1.34,1.63,1.62,12.01,-0.33,14.16,14.16,-2.74,4.48,4.12,7.21,-0.84,49.67,-1.53,28.51,34.61,0.25,,-0.03,0,3.9,-0.11,0.17,0.17,0.16,7.13,41.87,82.14,117.21,114.94,114.94,97.04,3.98,3.66,9.61,55.16,112.69,30.77,12.08,-1.07,1.75,84.47,52900,18.34,5.67,0.3,64.35,3.23,113.02,0.39,86.94,118.68,18635,19.51,0.43,0.43,3.27
2342 茂矽,0,0.407362247,0.179505975,0.112462085,0.478348433,0.084550666,0.083999668,1.396724073,1.396724073,-3.17,-0.148643891,0.270457345,-5.452324781,5.473743036,-7.430600454,3.826415159,-16.04,-20.57,-17.56,-37.62,-42.8,-42.53,-45.42,-45.42,-61.95,-67.81,-68.47,-5.86,-77.4,-274.69,-28.95,16.53,34.63,6.57,-14.86,-3.59,-0.86,4.66,-2.89,-3.16,-3.16,-3.17,-5.76,-6.5,4.81,-26.45,-30.73,-30.73,-22.82,-20.24,-27.02,-4.94,-14.61,65.1,86.36,-25.5,-28.89,-31.62,,-747347,15.27,7.44,0.31,49.06,12.18,29.97,0.55,48.4,152.35,-186353,14.42,0.76,0.76,3.68
2351 順德,0,0.09967609,0.416777829,0.45597425,0.945105645,0.305493861,0.155913405,0.410927917,0.410927917,2.69,0.381108145,1.557230556,8.426313288,-162.0486886,74.37835393,89.72475128,15.38,6.37,12.53,13.19,15.95,13.27,15.12,15.12,7.32,7.62,6.08,0.3,6.12,193.88,7.26,7.8,13.72,2.25,38.11,2.7,5.96,50.26,3.68,3.83,3.83,2.69,3.44,19.76,26.78,51.49,60.29,60.29,59.21,3.73,10.63,2.33,90.95,165.65,118.63,12.75,36.8,38.3,40.45,1851792,92.98,5.11,0.96,71.41,3.71,98.5,2.17,130.94,102.25,701949,21.5,1.09,1.09,11.27
2363 矽統,0,0.895878568,0.055036174,0.032720078,0.137098745,0.121316464,0.831382127,0.837332671,0.837332671,-0.47,-3.904204036,1.765449042,-0.924499084,1.176690495,-0.175618927,-1.69E-05,-3.17,-3.76,-3.46,-3.89,-44.95,-4.42,12.7,12.7,-84.46,-61.27,-63.48,23.19,-72.02,13.08,-14.26,97.16,54.51,65.97,-390.42,-0.53,-0.79,0.73,-0.62,-0.45,-0.45,-0.47,-24.15,-61.52,70.55,78.49,81.25,81.25,77.03,-4.14,-0.61,14.3,-27.32,1246.18,1.7,,-6.2,-4.5,,1431351,1.86,5.74,0.06,63.59,4.48,81.5,0.06,89.79,43.42,80374,19,0.73,0.73,1.85
2379 瑞昱,0,0.606707497,0.1490148,0.102523356,0.439420522,0.239319351,0.289821901,0.258634262,0.258634262,6.02,0.313250183,1.307289077,6.617299936,0.799457534,-0.506062197,0.639964053,14.63,10.15,13.22,16.31,15.77,16.2,43.19,43.19,8.91,11.56,10.77,2.65,10.7,125.91,9.92,34.31,20.6,23.63,31.33,5.97,8.45,55.81,4.97,6.46,6.45,6.01,14.49,20.23,9.99,33.86,35.74,35.74,37.7,29.47,10.33,3.36,170.78,200.24,74.81,79.6,49.73,64.51,16.82,13627039,35.07,7.76,0.93,47.04,5.52,66.1,1.51,35.03,64.17,1585261,14.39,1.37,1.37,2.37
2388 威盛,1,0.381805739,0.147733735,0.185015437,0.553166047,0.091764886,0.375543261,1.446556088,1.446556088,-2.57,-0.42008314,1.830044634,-2.951610853,-21.9077152,-2.92816153,26.06021254,-15.12,-12.4,-17.38,-31.55,-11.39,-51.04,31.67,31.67,-31.74,-18.51,-20.94,13.23,-33.88,49.94,-28.59,63.42,1.87,32.6,-42.01,-4.17,-4.18,12.33,-3.92,-2.28,-2.28,-2.57,36.34,28.18,46.96,71.5,68.46,68.46,41.06,9.16,-26.93,30.35,-632.43,100.58,199.65,-14.51,-39.16,-22.84,,28453,48.16,11.8,0.62,30.92,4.92,74.13,1.51,61.67,83.18,337508,11.98,1.68,1.68,2.07
2401 凌陽,0,0.52342889,0.185630643,0.111445624,0.363556032,0.303738785,0.207091473,0.575861472,0.575861472,0.09,0.5047764,8.252371127,6.230433088,-8.469179757,5.94093535,3.689568486,4.38,1.11,3.52,1.25,7.92,0.82,39.8,39.8,-0.17,1.94,1.51,2.11,0.99,99.41,-0.15,40.04,26.07,27.75,50.48,0.01,2.32,14.48,-0.02,0.28,0.28,0.09,-1.08,3.75,96.73,118.51,114.03,114.03,122.11,-2.48,2.35,7.53,129.35,305.39,37.01,5.42,-0.24,2.78,100,5565363,23.72,5.81,0.59,62.77,3.88,94.07,0.83,100.57,65.64,490131,18.03,0.61,0.61,3.02
2436 偉詮電,0,0.189863401,0.191584133,0.095981238,0.765839218,0.734780849,0.223455583,0.837217217,0.837217217,0.54,0.063350589,0.16522623,72.74346152,-0.477695414,-4.565719377,6.224278158,5.77,4.05,4.72,4.76,10.83,4.13,22.51,22.51,2.3,8.32,6.94,6.02,6.02,111.36,2.45,20.21,15.48,11.01,6.34,0.5,0.11,8.28,0.19,0.65,0.69,0.57,-6.51,2.15,27.24,120.09,308.36,308.36,65.01,-1.29,-2.19,2.91,147.05,711.72,18.38,406.59,1.9,6.89,89.55,2433033,30.78,3.56,0.58,102.66,5.61,65.1,0.69,96.17,74.45,189958,29.59,1.83,1.83,2.15
2441 超豐,0,0.557678693,0.284905311,0.10771432,0.953263127,0.38477832,0.392555876,0.463384462,0.463384462,2.91,1.846866643,1.868558133,2.681944897,3.699332558,-2.086204105,-0.615397152,26.3,11.91,22.52,13.75,38.76,13.77,23.73,23.73,19.24,19.95,17.57,0.72,17.6,528.39,13.62,4.49,21,1.22,184.69,2.84,6.17,16.16,3.11,3.3,3.22,2.84,1.3,27.58,30.52,32.79,29.61,29.61,30.01,11.48,9.34,2.84,99.87,422.5,16.45,,31.09,32.25,36.62,5985110,25.08,4.29,0.68,85.09,8.46,43.14,0.78,93.81,44.59,875896,24.3,1.09,1.09,6.1
3014 聯陽,0,0.662226836,0.205361113,0.117863207,0.292494718,0.52080162,0.212242599,0.44347799,0.44347799,1.22,0.496993633,1.525295459,8.409738081,-1.055919068,0.140394887,1.917930508,8.8,4.76,7.11,5.95,11.41,6.03,39.97,39.97,6.54,7.8,6.21,1.25,6.29,119.57,5.96,33.43,22.2,18.57,49.7,1.46,2.33,23.16,1.52,1.53,1.81,1.44,-2.62,-3.27,1.2,1.58,0.82,0.82,2.07,-9.33,-12.34,-0.16,141.12,398.78,27.53,497.64,15.15,18.05,16.52,2545702,31.67,5.37,0.77,67.93,4.84,75.4,0.96,66.7,69.42,777802,19.59,0.89,0.89,1.72
3034 聯詠,0,0.542359528,0.319548021,0.129327308,0.288842909,0.353050784,0.145561354,0.247174465,0.247174465,7.81,0.345258582,0.858723809,8.49313239,28.7632342,-2.102726405,-25.66513432,15.85,12.28,13.23,19.85,14.87,19.86,27.73,27.73,13.1,13.71,11.45,0.61,11.46,189.6,15.5,14.62,8.99,11.58,34.53,7.8,8.04,68.12,8.93,9.36,9.34,7.8,11.94,10.65,9.64,10.93,6.88,6.88,6.16,0.41,6.15,0.82,116.73,238.6,58.4,135.18,89.26,93.4,23.05,19591933,61.5,3.81,1.07,95.73,7.29,50.1,1.73,82.96,52.88,3232181,26,2.07,2.07,5.92
3169 亞信,0,0.621351255,0.086107424,0.114613185,0.355369622,0.325391562,0.51734449,0.67156536,0.67156536,2.01,2.325138358,1.739742341,3.009360091,50.12737198,-22.56537562,-26.56199636,18.06,11.83,16.2,13.04,27.05,12.98,44.21,44.21,17.82,19.1,17.68,1.28,17.6,167.55,14.76,26.39,19.22,14.6,232.51,2,3.77,11.36,2.02,2.17,2.17,2.01,-1.4,-6.28,-19.98,-11.91,-9.62,-9.62,-14.7,4.01,2.12,-1.31,156.1,794.78,11.17,,19.37,20.76,-0.1,576228,16.64,11.1,0.67,32.87,3.48,104.75,0.74,117.69,91.4,84080,9.78,3.57,3.57,3.83
3189 景碩,0,0.448732341,0.167039394,0.091943938,0.905312215,0.213897618,0.316457369,0.162010146,0.162010146,7.23,0.675000761,1.658928663,3.801537147,39.69401445,-24.01141069,-13.61384567,17.79,8.51,14.96,11.79,28.78,11.64,26.86,26.86,14.87,15.86,13.49,0.99,13.32,224.07,11.24,11.99,15.89,5.61,67.5,7.14,13.63,51.8,7.7,8.21,8.21,7.23,4.85,18.77,22.63,27.55,31.17,31.17,30.42,5.31,8.67,2.2,95.64,242.27,38.44,66.9,77.03,82.14,51.58,12808874,20.52,6.32,0.62,57.76,8.49,42.97,0.87,58.83,43.78,2459427,15.77,1.27,1.27,13.09
3227 原相,0,0.76220746,0.147629998,0.078663133,0.220313643,0.358181813,0.474798573,0.241852231,0.241852231,2.06,0.378519477,1.221585695,12.07239138,1.92920256,-0.146058087,-0.759288705,8.42,4.04,7.17,4.78,11.46,5.28,41.93,41.93,5.32,6.78,5.79,1.46,6.39,114.54,4.46,36.61,18.91,19.06,37.85,2.22,3.01,35.36,1.88,2.47,2.4,2,31.87,43.41,-28.18,6.98,8.81,8.81,-17.19,1.13,1.23,1.09,97.28,540.52,18.25,2258.96,18.07,23.01,-2.92,4461991,21.97,6.26,0.7,58.26,6.85,53.3,0.83,66.5,58.73,280523,17.46,1.05,1.05,3.21
3264 欣銓,0,0.710445773,0.245763285,,0.951358783,0.00047345,0.239409242,0.549793162,0.549793162,1.87,1.093449153,2.437308287,2.042878419,-15.83613429,17.76699657,-0.931062811,22.53,7.24,18.77,10.14,55.31,10.13,29.08,29.08,19.98,20.08,16.84,0.11,16.82,319.39,8.38,9.11,25.18,3.49,109.34,1.87,5.43,11.1,2.22,2.23,2.23,1.87,-3.06,-2.67,-3.53,-0.66,3.82,3.82,3.32,9.76,4.46,0.1,94.68,187.44,51.37,18.98,21.41,21.53,39.06,1957644,12.15,5.01,0.41,72.87,0,0,0.6,72.71,0,382271,20.62,1.08,1.08,6.7
3372 典範,0,0.529678246,0.300710983,0.117940147,0.894757878,0.485550833,0.449723224,1.187573855,1.187573855,-1.34,0.896031236,-0.894137607,6.204601366,-42.10753687,32.90326327,10.2042736,8.49,-12.03,6.27,-14.78,1.49,-5.59,-0.18,-0.18,-18.54,-18.03,-18.03,0.51,-6.82,-2.56,-13.24,7.18,30.08,2.51,89.6,-0.51,1.2,7.44,-1.38,-1.34,-1.34,-1.34,-21.27,83.48,-97.86,-95.29,-95.17,-95.17,26.11,-17.01,-13.43,-7.54,164.61,395.54,19.81,-344.71,-13.79,-13.41,,1195940,26.31,4.04,0.67,90.26,10.8,33.8,0.82,85.64,30.74,-231539,21.39,0.71,0.71,6.92
