證券代碼,Y,現金及約當現金佔流動資產,應收帳款及票據佔流動資產,存貨佔流動資產,不動產廠房及設備佔非流動資產,應付帳款及票據佔流動負債,其他應付款佔流動負債,普通股股本佔股東權益總額,股本佔股東權益總額,每股盈餘,營運現金流量比率,營運現金流量對淨利比率,營運指數,營運現金流量佔本期產生現金流量,投資活動之現金流量佔本期產生現金流量,籌資活動之現金流量佔本期產生現金流量,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,稅前息前折舊前淨利率,ROE(B)－常續利益,營業毛利率,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支/營收,常續利益率－稅後,貝里比率,營業資產報酬率,營業費用率,用人費用率,研究發展費用率,現金流量比率,常續性EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,季底每股稅前淨利,季底每股稅後淨利,營收成長率,營業毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總資產報酬成長率,現金流量允當比,流動比率,總負債/總淨值,利息保障倍數,營業利益 /實收資本比,稅前純益 /實收資本,內部保留比率,營運資金,存貨及應收帳款/淨值,應收帳款週轉次數,總資產週轉次數,平均收帳天數,存貨週轉率（次）,平均售貨天數,淨值週轉率（次）,淨營業週期（日）,季底售貨天數,自由現金流量(D),季底應收帳款/營收TSE,Tobins Q,Tobins Q (A),高管基層薪資差異(倍)
8131 福懋科,0,0.283149513,0.353277591,0.1720053,0.944951852,0.123265937,0.137539987,0.56046516,0.56046516,2.29,0.715638412,2.535592194,3.522794496,-5.055667263,4.813960041,1.241707223,20.59,6.88,16.36,12.1,31.41,11.89,12.72,12.72,11.17,11.2,9.97,0.03,9.8,819.93,7.92,1.55,10.77,0.56,71.56,2.25,6.53,23.01,2.57,2.58,2.58,2.29,14.22,-29.75,-33.63,-36.34,-41.47,-41.47,-42.34,-4.4,-11.12,-2,63.37,112.09,92.4,16.8,25.7,25.76,56.4,487972,30.12,5.57,0.66,65.5,11.68,31.25,1.21,72.1,31.89,118673,15.71,1.03,1.03,6.25
8150 南茂,1,0.549815281,0.140499517,0.109557614,0.962580024,0.052349879,0.145396456,0.558517071,0.558517071,-3.88,0.713731695,-1.634708169,2.696712196,4.478505409,-1.960749873,-1.518009618,9.54,-8.59,6.81,-18.05,20.98,-15.4,2.03,2.03,-18.44,-22.68,-20.83,-4.24,-17.78,9.9,-8.85,20.47,22.49,2.66,71.37,-3.29,7.21,19.46,-3.59,-4.41,-4.41,-3.88,-28.44,-94.77,-156.75,-175.18,-175.7,-175.7,-163.3,-17.25,-27.91,-19.52,102.13,101.02,105.97,-7.77,-34.14,-42,,87312,13.57,5.19,0.45,70.31,17.04,21.42,0.87,76.7,21.46,3445474,8.56,0.92,0.92,5.46
2468 華經,0,0.374359377,0.432322326,0.130502661,0.66198632,0.658335544,0.226664818,0.627165473,0.627165473,0.85,0.293719801,1.853822832,14.11329935,3.559840199,-0.637913815,-1.891111057,5.9,3.73,4.35,5.16,4.46,5.16,12.91,12.91,2.78,3.82,2.81,1.04,2.81,127.49,3.92,10.13,12.87,,29.37,0.86,2.08,29.32,0.82,1.12,1.12,0.86,4.76,-18.75,-42.51,-16.26,-6.15,-6.15,-6.15,8.85,-0.16,-0.34,107.29,268.68,44.83,356.09,8.16,11.21,18.19,839253,67.08,4.19,1.32,87.22,9.31,39.18,1.84,76.53,35.45,66242,28.02,0.69,0.69,2.08
3158 嘉實,0,0.578570544,0.085479054,,0.23711282,0.030029225,0.37885575,0.581491946,0.581491946,2.07,-0.318108146,-0.561472271,-15.33916393,0.242277561,0.190684473,0.561828114,13.75,9.55,11.92,11.75,15.12,11.73,55.94,55.94,11,11.61,10.48,0.61,10.47,124.49,14.81,44.93,53.65,23.32,-31.81,2.07,-1.29,19.81,2.18,2.3,2.3,2.07,8.43,-2.6,-26.17,-30.3,-38.45,-38.45,-41.39,-2.67,-5.28,-5.65,171.14,370.94,24.91,705.67,21.79,23,13,212299,7.48,16.65,0.91,21.92,0,0,1.12,18.35,0,67624,6.5,0.8,0.8,2.69
3257 虹冠電,0,0.487787503,0.206369292,0.207299612,0.784485659,0.343478141,0.242610032,0.822958484,0.822958484,1.61,0.986043985,2.075271734,3.281184939,1.209323594,-0.078603606,-0.130719987,12.18,10.78,11.82,14.12,16.7,14.14,43.44,43.44,14.01,14.69,14.69,0.68,14.7,147.6,10.61,29.43,19.56,15.16,98.6,1.61,3.35,10.98,1.54,1.61,1.61,1.61,1.51,13.31,29.77,16.55,16.55,16.55,16.2,19.54,13.71,1.8,,392.84,34.97,117.25,15.39,16.13,50.4,318108,45.4,4.44,0.73,82.24,1.96,186.38,0.96,229.21,181.61,16217,25.06,0.79,0.79,2.88
3530 晶相光,0,0.865128724,0.001111249,0.091909345,0.126205741,0.726178536,0.267691965,1.095778563,1.095778563,-1.33,-0.456889186,0.422893099,-10.77128222,0.810104071,0.236925306,-0.047029377,-11.08,-12.22,-11.36,-13.58,-19.91,-13.58,10.49,10.49,-24.74,-21.95,-21.95,2.78,-21.95,29.78,-14.69,35.22,22.44,16.26,-45.69,-1.33,-0.56,6.04,-1.5,-1.33,-1.33,-1.33,-27.8,87.78,5.14,9.67,11.98,11.98,11.98,-8.87,-12.42,1.61,339.15,778.91,13.49,,-14.95,-13.27,,182755,9.75,1137.13,0.56,0.32,4.52,80.82,0.62,33.97,60.63,2466,0.18,1.88,1.88,2.88
3583 辛耘,0,0.17750652,0.300023913,0.335917385,0.911577223,0.198677928,0.134488818,0.439558507,0.439558507,0.8,0.20821517,-3.097034526,7.023426618,-4.158615825,4.481255076,0.689586628,5.49,0.66,5.71,-0.23,12.64,0.22,29.31,29.31,-2.66,-4.6,-0.23,-1.94,0.22,91.68,-1.21,31.97,20.27,7.35,20.82,0.91,3.32,23.35,-0.62,-1.07,-1.07,0.8,-18.31,-15.13,-633.75,-203.71,87.49,87.49,111.85,-2.58,-1.31,0.66,14.44,96.22,127.59,-0.97,-6.06,-10.47,100,-35337,41.89,5.09,0.43,71.76,2.51,145.33,0.99,148.34,113.87,313947,19.74,0.87,0.87,1.86
3592 瑞鼎,0,0.147214013,0.70338959,0.112026393,0.113729335,0.66107479,0.181973082,0.194339858,0.194339858,25.48,0.248709598,0.42216194,12.53297107,3.182164981,-1.208194386,-0.973970595,41.4,33.54,36.78,60.76,21.3,60.41,28.68,28.68,18.93,18.9,17.22,-0.03,17.12,294.09,38.47,9.75,7.4,7.13,24.87,25.15,11.8,146.87,27.8,27.96,27.76,25.3,23.18,50.26,48.17,45.68,44.78,44.78,41.16,87.5,61.75,16.62,96.18,201.43,91.57,431.08,278,277.58,40.7,2541355,150.4,3.02,1.94,120.96,11.49,31.76,3.53,75.54,37.25,498435,45.46,2.07,2.07,2.26
3661 世芯-KY,1,0.281684516,0.464963576,0.172263008,0.741404298,0.259626127,0.321271093,-0.000791538,-0.00267364,1.76,0.029547955,1.660391782,54.5847721,-0.295555442,1.896361688,-0.925328707,12.22,1.41,11.2,,13.68,,56.05,56.05,1.37,1.1,1.57,-0.27,3.11,102.5,1.41,54.68,33.61,29.35,2.95,2104.5,2.05,20618.8,282.35,1.24,227.5,322.87,-20.7,74.21,107.09,104.89,107.14,107.14,117.93,45.08,12.89,27.43,,108.15,837.4,46.11,2848.25,2294.96,100,47920,-237.62,4.55,0.89,80.25,5.52,66.07,-5.18,43.05,98.4,81414,31.18,0.55,0.55,
3686 達能,0,0.291990055,0.100401179,0.187220415,0.919623336,0.155274187,0.275269709,0.90726721,1.009350613,-0.97,0.002159649,-0.00541549,1946.295732,0.005936222,-2.860544033,3.854607811,-1.42,-4.53,-1.32,-8.62,-2.08,-8.26,-0.93,-0.93,-8.59,-9.49,-7.82,-0.9,-7.5,-12.15,-6.12,7.66,10.71,3.62,0.22,-0.76,0.01,10.13,-0.87,-1.18,-0.96,-0.79,972.44,95.52,66.52,64.27,60.28,60.28,63.4,17.01,49.45,12.26,,219.68,45.34,-5.05,-7.82,-8.64,,363530,13.82,38.02,0.68,9.6,8.3,44,1.1,39.7,33.64,-898046,5.25,3.22,3.22,3.12
4953 緯軟,0,0.538146579,0.369242149,,0.467130715,0.102015602,0.680332138,0.531198034,0.531198034,2.11,0.483023645,1.083541655,9.9892794,19.8637609,-17.93574097,,12.26,8.59,10.09,11.74,10.82,11.96,31.33,31.33,6.98,9.24,7.58,2.26,7.72,128.69,8.7,24.34,63.11,,48.3,2.13,2.78,27.59,1.93,2.57,2.55,2.09,17,22.74,98.63,45.36,35.22,35.22,38.23,11.13,12.24,2.46,,405.3,36.13,,19.26,25.49,100,504083,45.45,3.38,1.13,107.96,286.6,1.27,1.55,96.58,0,5244,31.02,0.73,0.73,
4994 傳奇,1,0.79749648,0.15987392,0.002086267,0.424057959,0.098952636,0.242930607,1.232458014,1.232458014,-1.23,0.563300768,-15.92075338,3.413182741,0.396619953,-0.227838912,0.831218959,7.86,-5.79,2.63,-57,6.83,-47.81,74.38,74.38,-6.32,-1.84,-5.03,4.48,-4.22,92.17,-8.93,80.7,46.76,37.98,56.33,-0.22,11.95,10.19,-0.64,-0.75,-0.19,-0.31,99.04,140.12,17.3,84.42,57.44,57.44,64.3,214.68,181.86,27.93,,194.66,65.54,,-6.44,-1.88,,75289,20.6,6.71,1.15,54.4,99.05,3.68,-11.34,-51.31,3.01,-252709,16.19,0.6,0.6,
5201 凱衛,0,0.213438051,0.285686607,,0.589880977,0.180513815,0.743625788,1.182322223,1.182322223,0.6,-0.005113912,-0.011748984,-868.0900474,-0.019973495,1.019973495,,9.81,6.43,6.91,8.08,12.89,6.48,38.73,38.73,7.62,9.8,8.44,2.19,6.77,124.49,8.87,31.11,59.16,4.41,-0.51,0.48,-0.01,7.13,0.54,0.7,0.7,0.6,9.93,22.7,18.41,21.39,4.23,4.23,-15.38,22.64,31.18,0.39,207.24,350.25,22.07,8980.5,5.43,6.99,100,103255,19.01,3.8,0.76,95.94,0,0,0.96,66.94,0,-25903,22.54,1.72,1.72,2.57
5203 訊連,0,0.598027938,0.095510831,0.001036825,0.164190006,0.000829642,0.975567851,0.230672674,0.230672674,7.91,-0.064263375,-0.113017778,-39.74171221,0.115247253,-0.012076564,0.874406143,16.63,13.61,14.63,18.5,24.28,18.48,99.51,99.51,22.9,22.26,19.86,-0.64,19.84,129.89,21.04,76.61,19.92,14.19,-6.43,7.82,-1,39.41,9.03,8.86,8.77,7.83,-2.64,-2.63,-11.92,-20.48,-17.74,-17.74,-14.76,4.78,5.08,-2.57,167.63,267.55,35.8,,90.26,87.74,17.82,2991011,9.19,9.57,0.69,38.13,3.02,120.9,0.93,101.7,90.25,781503,10.01,2.33,2.33,4.12
5211 蒙恬,0,0.644935507,0.149141097,0.133437857,0.882766747,0.449538817,0.514199377,0.617578145,0.617578145,2.29,1.204122961,0.943531191,5.458408335,9.961910995,-3.498167539,-5.245942408,15.7,12.16,13.48,13.93,21.86,13.93,67.62,67.62,17.62,19.42,16.94,1.8,16.94,135.23,13.24,50,29.2,12.61,120.41,2.27,2.48,13.42,2.36,2.63,2.61,2.27,-2.11,-1.04,-2.12,-8.2,-2.75,-2.75,-2.75,5.77,5.46,-0.28,196.98,578.2,14.67,,22.85,25.19,12.03,302259,19.92,8.03,0.72,45.47,2.77,131.94,0.82,104.55,132.82,44964,13.12,2.94,2.94,1.61
5212 凌網,0,0.363361312,0.534379832,0.037975051,0.143974922,0.289048455,0.565089369,0.918994269,0.926439699,-0.93,0.651585908,-2.22004365,7.721026844,2.589807819,-0.536465177,-1.030716163,0.4,-6.19,-1.62,-7.8,0.41,-7.8,43.13,43.13,-8.84,-5.83,-6.35,3,-6.35,82.99,-11.02,51.96,65.63,28.82,65.16,-0.93,1.89,14.61,-1.29,-0.85,-0.85,-0.93,-11.89,-23.65,-344.68,-183.7,-191.85,-191.85,-191.85,-12.87,-13.18,-11.5,172.32,355.48,26.35,,-12.62,-8.33,,247278,53.51,2.18,0.98,167.29,20.53,17.78,1.23,133.11,17.22,36619,37.76,1.54,1.54,3.31
5344 立衛,0,0.877729958,0.105615689,,0.826585018,0.010343206,0.965130857,0.88015829,0.88015829,1.27,3.854986157,1.466184535,1.637697165,1.856713339,-0.706985696,-0.149727642,14.57,11.3,13.75,11.73,53.71,11.73,51.21,51.21,37.05,41.65,41.65,4.59,41.65,361.68,10.89,14.16,25.19,,385.5,1.27,1.86,3.04,1.13,1.27,1.27,1.27,-4.27,-11.89,-13.29,-12.58,-12.58,-12.58,-12.58,11.83,10.91,-1.75,339.24,1336.36,4.24,33555.7,11.27,12.67,9.5,473352,5.99,4.1,0.27,88.96,0,0,0.28,87.93,0,26708,22.36,2.14,2.14,2.46
5403 中菲,0,0.413847059,0.054407443,0.349002134,0.411190197,0.195208506,0.096216397,0.712133274,0.712133274,2.01,1.111005879,3.609889908,2.543346239,1.308393626,-0.13767815,-0.170715476,11.84,9.03,8.26,14.65,11.36,12.81,22.35,22.35,9.37,10.89,8.67,1.52,7.58,172.19,11.15,12.98,22.3,3.67,111.1,1.72,9.11,22.69,2.13,2.52,2.47,1.97,-12.26,4.57,23.4,29.29,28.65,32.76,21.95,8.17,9.72,2.39,228.55,245.58,61.14,2724.18,21.26,24.71,10.17,644060,56.64,11.03,1.04,33.09,2.04,179.35,1.69,181.07,143.36,86636,4.73,1.1,1.1,3.39
6123 上奇,0,0.353603955,0.427929447,0.194675013,0.638550204,0.424174175,0.073240703,0.77047037,0.77047037,1.71,0.312849712,1.914900481,10.88294587,2.882579559,-0.511751756,-1.140146978,9.3,6.57,7.07,13.14,5.37,13.14,17.53,17.53,4.76,4.8,3.65,0.04,3.65,137.24,8.66,12.78,8.38,0.58,31.28,1.7,4.34,46.97,2.23,2.27,2.25,1.7,-2.77,-6.06,-4.97,-14.33,-27.93,-27.93,-27.93,1.87,5.23,-2.64,173.28,164.62,104.49,26.76,21.67,21.86,41.18,367835,105.65,4.85,1.73,75.23,7.63,47.83,3.6,70.52,41.96,76859,20.69,1.21,1.21,1.75
